"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_T2M_X",1757,1920-09-16,20.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-17,16.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-18,19.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-19,18.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-20,17.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-21,14.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-22,14.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-23,16.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-24,15.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-25,17.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-26,15.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-27,18.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-28,15.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-29,17.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-09-30,18.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-01,19.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-02,14.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-03,11.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-04,11.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-05,10.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-06,14.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-07,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-08,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-09,11.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-10,11.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-11,14.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-12,14.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-13,13.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-14,12.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-15,12,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-16,10.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-17,7.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-18,6.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-19,7.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-20,7.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-21,7.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-22,8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-23,7.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-24,8.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-25,9.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-26,8.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-27,8.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-28,8.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-29,3.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-30,1.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-10-31,4.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-01,4.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-02,5.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-03,4.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-11-04,3.1,0,1
